alerta_id,codigo,tipo_cliente,regra_id,regra,enquadramento,valor_envolvido,data,prioridade,evidencia
A004085,T-79114,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",3482.74,2026-07-30,40.0,40 pagadores distintos mandaram R$ 3.483 em 7 dias; R$ 3.204 (92% do recebido) saiu da conta na mesma janela.
A004086,L-82184,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",118550.27029034495,2026-07-31,52.1,"R$ 118.550 recebidos no POS em 7 dias, 3,5× a receita semanal esperada (R$ 33.604); 3% vieram de cartões de uma mesma empresa cliente."
A004087,L-47054,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",68238.2104974559,2026-07-31,50.0,"R$ 68.238 recebidos no POS em 7 dias, 3,2× a receita semanal esperada (R$ 21.246); 17% vieram de cartões de uma mesma empresa cliente."
A004088,L-23322,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",85169.81961087673,2026-08-01,54.4,"R$ 85.170 recebidos no POS em 7 dias, 3,9× a receita semanal esperada (R$ 21.840); 4% vieram de cartões de uma mesma empresa cliente."
A004089,L-82184,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",121652.77077982435,2026-08-01,52.1,"R$ 121.653 recebidos no POS em 7 dias, 3,6× a receita semanal esperada (R$ 33.604); 3% vieram de cartões de uma mesma empresa cliente."
A004091,L-47054,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",74523.10001673433,2026-08-01,50.0,"R$ 74.523 recebidos no POS em 7 dias, 3,5× a receita semanal esperada (R$ 21.246); 17% vieram de cartões de uma mesma empresa cliente."
A004092,L-55371,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",39272.01496508089,2026-08-01,48.8,"R$ 39.272 recebidos no POS em 7 dias, 3,9× a receita semanal esperada (R$ 10.166); 11% vieram de cartões de uma mesma empresa cliente."
A004095,L-42999,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",34540.71186842723,2026-08-01,46.7,"R$ 34.541 recebidos no POS em 7 dias, 3,6× a receita semanal esperada (R$ 9.475); 18% vieram de cartões de uma mesma empresa cliente."
A004096,T-57802,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",36551.64000000001,2026-08-01,57.3,"R$ 26.211 recebidos e R$ 10.340 enviados por Pix em 30 dias — 4,8× a renda mensal declarada de R$ 7.610."
A004097,T-57802,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",36551.64000000001,2026-08-01,57.3,"R$ 36.552 movimentados em 30 dias, contra média mensal de R$ 3.572 nos 3 meses anteriores (10× a média, com piso de R$ 200)."
A004098,T-52369,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",18011.339999999997,2026-08-01,44.4,"R$ 17.483 recebidos e R$ 528 enviados por Pix em 30 dias — 5,2× a renda mensal declarada de R$ 3.440."
A004099,T-52369,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",18011.339999999997,2026-08-01,44.4,"R$ 18.011 movimentados em 30 dias, contra média mensal de R$ 729 nos 3 meses anteriores (25× a média, com piso de R$ 200)."
A004100,T-25896,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",17417.980000000003,2026-08-01,48.3,"R$ 16.563 recebidos e R$ 855 enviados por Pix em 30 dias — 5,4× a renda mensal declarada de R$ 3.210."
A004101,T-25896,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",17417.980000000003,2026-08-01,48.3,"R$ 17.418 movimentados em 30 dias, contra média mensal de R$ 927 nos 3 meses anteriores (19× a média, com piso de R$ 200)."
A004102,T-77721,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",55470.94000000001,2026-08-01,48.9,"R$ 40.483 recebidos e R$ 14.988 enviados por Pix em 30 dias — 8,1× a renda mensal declarada de R$ 6.830."
A004103,T-77721,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",55470.94000000001,2026-08-01,48.9,"R$ 55.471 movimentados em 30 dias, contra média mensal de R$ 2.124 nos 3 meses anteriores (26× a média, com piso de R$ 200)."
A004104,T-23197,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",20051.260000000006,2026-08-01,48.8,"R$ 19.249 recebidos e R$ 802 enviados por Pix em 30 dias — 5,1× a renda mensal declarada de R$ 3.920."
A004105,T-23197,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",20051.260000000006,2026-08-01,48.8,"R$ 20.051 movimentados em 30 dias, contra média mensal de R$ 782 nos 3 meses anteriores (26× a média, com piso de R$ 200)."
A004107,T-02476,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",80189.54000000001,2026-08-01,73.0,"R$ 41.530 recebidos e R$ 38.659 enviados por Pix em 30 dias — 48,3× a renda mensal declarada de R$ 1.660."
A004108,T-02476,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",8197.359999999993,2026-08-01,73.0,16 pagadores distintos mandaram R$ 8.197 em 7 dias; R$ 7.367 (90% do recebido) saiu da conta na mesma janela.
A004110,T-81479,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",87887.82999999997,2026-08-01,73.3,"R$ 46.138 recebidos e R$ 41.750 enviados por Pix em 30 dias — 41,9× a renda mensal declarada de R$ 2.100."
A004111,T-81479,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",6317.489999999991,2026-08-01,73.3,17 pagadores distintos mandaram R$ 6.317 em 7 dias; R$ 5.578 (88% do recebido) saiu da conta na mesma janela.
A004115,T-24402,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",6046.300000000003,2026-08-01,72.2,14 pagadores distintos mandaram R$ 6.046 em 7 dias; R$ 5.490 (91% do recebido) saiu da conta na mesma janela.
A004123,T-64447,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",11904.669999999991,2026-08-01,73.5,28 pagadores distintos mandaram R$ 11.905 em 7 dias; R$ 10.666 (90% do recebido) saiu da conta na mesma janela.
A004124,T-51244,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",10564.970000000008,2026-08-01,73.6,17 pagadores distintos mandaram R$ 10.565 em 7 dias; R$ 9.736 (92% do recebido) saiu da conta na mesma janela.
A004125,T-22168,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",6150.019999999997,2026-08-01,62.7,11 pagadores distintos mandaram R$ 6.150 em 7 dias; R$ 5.766 (94% do recebido) saiu da conta na mesma janela.
A004130,T-04899,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",9091.380000000005,2026-08-01,72.2,16 pagadores distintos mandaram R$ 9.091 em 7 dias; R$ 8.383 (92% do recebido) saiu da conta na mesma janela.
A004134,T-50007,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",8349.469999999994,2026-08-01,72.9,16 pagadores distintos mandaram R$ 8.349 em 7 dias; R$ 7.341 (88% do recebido) saiu da conta na mesma janela.
A004137,T-62174,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",8981.189999999995,2026-08-01,72.2,17 pagadores distintos mandaram R$ 8.981 em 7 dias; R$ 8.318 (93% do recebido) saiu da conta na mesma janela.
A004138,T-54995,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",7079.049999999996,2026-08-01,71.4,15 pagadores distintos mandaram R$ 7.079 em 7 dias; R$ 6.544 (92% do recebido) saiu da conta na mesma janela.
A004139,T-47777,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",9848.429999999993,2026-08-01,72.8,18 pagadores distintos mandaram R$ 9.848 em 7 dias; R$ 8.947 (91% do recebido) saiu da conta na mesma janela.
A004140,T-92939,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",10018.950000000004,2026-08-01,72.6,20 pagadores distintos mandaram R$ 10.019 em 7 dias; R$ 9.192 (92% do recebido) saiu da conta na mesma janela.
A004141,T-83333,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",8134.760000000002,2026-08-01,62.4,15 pagadores distintos mandaram R$ 8.135 em 7 dias; R$ 7.519 (92% do recebido) saiu da conta na mesma janela.
A004142,T-21010,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",7519.8499999999985,2026-08-01,72.3,15 pagadores distintos mandaram R$ 7.520 em 7 dias; R$ 7.049 (94% do recebido) saiu da conta na mesma janela.
A004144,T-51938,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",91428.75,2026-08-01,73.6,"R$ 47.752 recebidos e R$ 43.677 enviados por Pix em 30 dias — 52,2× a renda mensal declarada de R$ 1.750."
A004145,T-51938,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",10083.200000000004,2026-08-01,73.6,19 pagadores distintos mandaram R$ 10.083 em 7 dias; R$ 9.531 (95% do recebido) saiu da conta na mesma janela.
A004146,T-05653,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",12420.589999999997,2026-08-01,72.0,25 pagadores distintos mandaram R$ 12.421 em 7 dias; R$ 11.292 (91% do recebido) saiu da conta na mesma janela.
A004147,T-46148,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",8322.409999999996,2026-08-01,71.3,15 pagadores distintos mandaram R$ 8.322 em 7 dias; R$ 7.629 (92% do recebido) saiu da conta na mesma janela.
A004148,T-53985,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",5769.5799999999945,2026-08-01,72.6,11 pagadores distintos mandaram R$ 5.770 em 7 dias; R$ 5.249 (91% do recebido) saiu da conta na mesma janela.
A004149,T-01160,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",9157.319999999992,2026-08-01,76.7,16 pagadores distintos mandaram R$ 9.157 em 7 dias; R$ 8.637 (94% do recebido) saiu da conta na mesma janela.
A004150,T-76811,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",9548.700000000004,2026-08-01,61.2,19 pagadores distintos mandaram R$ 9.549 em 7 dias; R$ 8.886 (93% do recebido) saiu da conta na mesma janela.
A004151,T-13964,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",14779.410000000003,2026-08-01,73.3,27 pagadores distintos mandaram R$ 14.779 em 7 dias; R$ 13.753 (93% do recebido) saiu da conta na mesma janela.
A004152,L-17387,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",136055.5169674987,2026-08-02,49.8,"R$ 136.056 recebidos no POS em 7 dias, 3,1× a receita semanal esperada (R$ 43.905); 8% vieram de cartões de uma mesma empresa cliente."
A004153,L-78119,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",64098.40540583804,2026-08-02,46.7,"R$ 64.098 recebidos no POS em 7 dias, 3,4× a receita semanal esperada (R$ 18.747); 5% vieram de cartões de uma mesma empresa cliente."
A004154,T-44296,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",63027.0,2026-08-02,49.5,"R$ 33.248 recebidos e R$ 29.779 enviados por Pix em 30 dias — 16,5× a renda mensal declarada de R$ 3.820."
A004155,T-44296,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",63027.0,2026-08-02,49.5,"R$ 63.027 movimentados em 30 dias, contra média mensal de R$ 2.026 nos 3 meses anteriores (31× a média, com piso de R$ 200)."
A004156,T-01011,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",38865.22,2026-08-02,51.5,"R$ 20.712 recebidos e R$ 18.153 enviados por Pix em 30 dias — 12,5× a renda mensal declarada de R$ 3.110."
A004157,T-01011,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",38865.22,2026-08-02,51.5,"R$ 38.865 movimentados em 30 dias, contra média mensal de R$ 1.402 nos 3 meses anteriores (28× a média, com piso de R$ 200)."
A004158,T-35260,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",43772.36,2026-08-02,48.0,"R$ 26.446 recebidos e R$ 17.326 enviados por Pix em 30 dias — 16,2× a renda mensal declarada de R$ 2.700."
A004159,T-35260,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",43772.36,2026-08-02,48.0,"R$ 43.772 movimentados em 30 dias, contra média mensal de R$ 777 nos 3 meses anteriores (56× a média, com piso de R$ 200)."
A004160,T-88154,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",56085.1,2026-08-02,49.0,"R$ 44.440 recebidos e R$ 11.645 enviados por Pix em 30 dias — 7,6× a renda mensal declarada de R$ 7.370."
A004161,T-88154,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",56085.1,2026-08-02,49.0,"R$ 56.085 movimentados em 30 dias, contra média mensal de R$ 2.061 nos 3 meses anteriores (27× a média, com piso de R$ 200)."
A004162,T-09256,Titular (PF),R09,R09 · PEP com movimentação relevante,"IV, s",10218.659999999996,2026-08-02,44.3,"Titular PEP movimentou R$ 10.219 em 30 dias (R$ 9.818 recebidos, R$ 401 enviados); renda mensal declarada de R$ 12.760."
A004163,T-92196,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",83337.18,2026-08-02,54.6,"R$ 44.319 recebidos e R$ 39.018 enviados por Pix em 30 dias — 15,1× a renda mensal declarada de R$ 5.510."
A004164,T-92196,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",83337.18,2026-08-02,54.6,"R$ 83.337 movimentados em 30 dias, contra média mensal de R$ 1.490 nos 3 meses anteriores (56× a média, com piso de R$ 200)."
A004165,T-24402,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",66670.80999999998,2026-08-02,72.2,"R$ 34.875 recebidos e R$ 31.795 enviados por Pix em 30 dias — 38,1× a renda mensal declarada de R$ 1.750."
A004166,T-22168,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",74732.62000000001,2026-08-02,62.7,"R$ 38.473 recebidos e R$ 36.260 enviados por Pix em 30 dias — 38,1× a renda mensal declarada de R$ 1.960."
A004167,T-33244,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",5603.82,2026-08-02,71.8,11 pagadores distintos mandaram R$ 5.604 em 7 dias; R$ 5.153 (92% do recebido) saiu da conta na mesma janela.
A004168,T-45233,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",76488.26000000001,2026-08-02,72.7,"R$ 39.309 recebidos e R$ 37.179 enviados por Pix em 30 dias — 34,8× a renda mensal declarada de R$ 2.200."
A004169,T-45233,Titular (PF),R02,R02 · Muitas origens e saída rápida,"IV, n",5413.580000000009,2026-08-02,72.7,12 pagadores distintos mandaram R$ 5.414 em 7 dias; R$ 5.369 (99% do recebido) saiu da conta na mesma janela.
A004170,T-01160,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",105252.93999999999,2026-08-02,76.7,"R$ 54.854 recebidos e R$ 50.398 enviados por Pix em 30 dias — 60,8× a renda mensal declarada de R$ 1.730."
A004171,T-01160,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",105252.93999999999,2026-08-02,76.7,"R$ 105.253 movimentados em 30 dias, contra média mensal de R$ 7.985 nos 3 meses anteriores (13× a média, com piso de R$ 200)."
A004173,L-41167,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",24031.933469268144,2026-08-03,74.0,"R$ 24.032 recebidos no POS em 7 dias, 3,5× a receita semanal esperada (R$ 6.898); 76% vieram de cartões de uma mesma empresa cliente."
A004174,L-32062,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",23154.22444780753,2026-08-03,70.4,"R$ 23.154 recebidos no POS em 7 dias, 3,0× a receita semanal esperada (R$ 7.642); 77% vieram de cartões de uma mesma empresa cliente."
A004175,L-32062,Estabelecimento (PJ),R06,R06 · Transações em horário incompatível,"IV, y",23154.22444780753,2026-08-03,70.4,"16 de 60 transações (27%) entre 23h e 5h em 7 dias, num estabelecimento de horário comercial (padaria e mercearia)."
A004177,T-43268,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",17547.520000000004,2026-08-03,31.5,"R$ 16.764 recebidos e R$ 783 enviados por Pix em 30 dias — 3,1× a renda mensal declarada de R$ 5.700."
A004178,T-48680,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",27525.960000000003,2026-08-03,50.1,"R$ 27.155 recebidos e R$ 370 enviados por Pix em 30 dias — 13,9× a renda mensal declarada de R$ 1.980."
A004179,T-48680,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",27525.960000000003,2026-08-03,50.1,"R$ 27.526 movimentados em 30 dias, contra média mensal de R$ 435 nos 3 meses anteriores (63× a média, com piso de R$ 200)."
A004183,T-65128,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",56212.39,2026-08-04,49.0,"R$ 28.857 recebidos e R$ 27.355 enviados por Pix em 30 dias — 27,8× a renda mensal declarada de R$ 2.020."
A004184,T-65128,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",56212.39,2026-08-04,49.0,"R$ 56.212 movimentados em 30 dias, contra média mensal de R$ 724 nos 3 meses anteriores (78× a média, com piso de R$ 200)."
A004185,T-11538,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",71036.07,2026-08-04,54.9,"R$ 39.503 recebidos e R$ 31.533 enviados por Pix em 30 dias — 19,1× a renda mensal declarada de R$ 3.710."
A004186,T-11538,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",71036.07,2026-08-04,54.9,"R$ 71.036 movimentados em 30 dias, contra média mensal de R$ 1.358 nos 3 meses anteriores (52× a média, com piso de R$ 200)."
A004187,T-15058,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",53362.53999999999,2026-08-04,52.8,"R$ 32.174 recebidos e R$ 21.188 enviados por Pix em 30 dias — 27,5× a renda mensal declarada de R$ 1.940."
A004188,T-15058,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",53362.53999999999,2026-08-04,52.8,"R$ 53.363 movimentados em 30 dias, contra média mensal de R$ 623 nos 3 meses anteriores (86× a média, com piso de R$ 200)."
A004189,T-79186,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",41048.689999999995,2026-08-04,47.7,"R$ 29.198 recebidos e R$ 11.851 enviados por Pix em 30 dias — 10,6× a renda mensal declarada de R$ 3.860."
A004190,T-79186,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",41048.689999999995,2026-08-04,47.7,"R$ 41.049 movimentados em 30 dias, contra média mensal de R$ 1.113 nos 3 meses anteriores (37× a média, com piso de R$ 200)."
A004192,T-64447,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",86699.51999999999,2026-08-04,73.5,"R$ 45.096 recebidos e R$ 41.603 enviados por Pix em 30 dias — 54,2× a renda mensal declarada de R$ 1.600."
A004193,L-41167,Estabelecimento (PJ),R06,R06 · Transações em horário incompatível,"IV, y",89572.74711285112,2026-08-05,74.0,"34 de 110 transações (31%) entre 23h e 5h em 7 dias, num estabelecimento de horário comercial (padaria e mercearia)."
A004196,T-29508,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",70140.08999999998,2026-08-05,49.9,"R$ 37.575 recebidos e R$ 32.565 enviados por Pix em 30 dias — 16,5× a renda mensal declarada de R$ 4.250."
A004197,T-29508,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",70140.08999999998,2026-08-05,49.9,"R$ 70.140 movimentados em 30 dias, contra média mensal de R$ 3.149 nos 3 meses anteriores (22× a média, com piso de R$ 200)."
A004199,T-17896,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",78515.82999999999,2026-08-05,50.3,"R$ 43.384 recebidos e R$ 35.132 enviados por Pix em 30 dias — 67,1× a renda mensal declarada de R$ 1.170."
A004200,T-17896,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",78515.82999999999,2026-08-05,50.3,"R$ 78.516 movimentados em 30 dias, contra média mensal de R$ 729 nos 3 meses anteriores (108× a média, com piso de R$ 200)."
A004201,T-64317,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",13584.710000000003,2026-08-05,43.3,"R$ 13.541 recebidos e R$ 44 enviados por Pix em 30 dias — 6,1× a renda mensal declarada de R$ 2.210."
A004202,T-64317,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",13584.710000000003,2026-08-05,43.3,"R$ 13.585 movimentados em 30 dias, contra média mensal de R$ 673 nos 3 meses anteriores (20× a média, com piso de R$ 200)."
A004203,T-50532,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",56966.92999999999,2026-08-05,53.1,"R$ 28.485 recebidos e R$ 28.482 enviados por Pix em 30 dias — 6,5× a renda mensal declarada de R$ 8.820."
A004204,T-50532,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",56966.92999999999,2026-08-05,53.1,"R$ 56.967 movimentados em 30 dias, contra média mensal de R$ 3.367 nos 3 meses anteriores (17× a média, com piso de R$ 200)."
A004205,T-32257,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",43336.600000000006,2026-08-05,49.2,"R$ 22.626 recebidos e R$ 20.710 enviados por Pix em 30 dias — 8,9× a renda mensal declarada de R$ 4.860."
A004208,E-9739,Empresa cliente (PJ),R07,R07 · Recarga incompatível com o porte da empresa,"IV, ac",152385.15625,2026-08-06,65.2,R$ 152.385 em recargas de benefício em 30 dias para 24 colaboradores ativos — R$ 6.349 por pessoa. Faturamento mensal declarado de R$ 82.293; cliente desde 03/2026.
A004209,L-67643,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",15414.606311598764,2026-08-06,41.0,"R$ 15.415 recebidos no POS em 7 dias, 4,4× a receita semanal esperada (R$ 3.515); 16% vieram de cartões de uma mesma empresa cliente."
A004210,T-19980,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",32968.17,2026-08-06,46.9,"R$ 30.525 recebidos e R$ 2.443 enviados por Pix em 30 dias — 6,2× a renda mensal declarada de R$ 5.340."
A004211,T-19980,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",32968.17,2026-08-06,46.9,"R$ 32.968 movimentados em 30 dias, contra média mensal de R$ 1.435 nos 3 meses anteriores (23× a média, com piso de R$ 200)."
A004212,T-35878,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",45831.13,2026-08-06,48.2,"R$ 27.474 recebidos e R$ 18.357 enviados por Pix em 30 dias — 12,5× a renda mensal declarada de R$ 3.660."
A004213,T-35878,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",45831.13,2026-08-06,48.2,"R$ 45.831 movimentados em 30 dias, contra média mensal de R$ 1.308 nos 3 meses anteriores (35× a média, com piso de R$ 200)."
A004214,T-67425,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",32039.909999999993,2026-08-06,28.9,"R$ 32.040 movimentados em 30 dias, contra média mensal de R$ 1.904 nos 3 meses anteriores (17× a média, com piso de R$ 200)."
A004215,T-10366,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",25750.940000000002,2026-08-06,49.9,"R$ 24.642 recebidos e R$ 1.108 enviados por Pix em 30 dias — 3,9× a renda mensal declarada de R$ 6.660."
A004216,T-10366,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",25750.940000000002,2026-08-06,49.9,"R$ 25.751 movimentados em 30 dias, contra média mensal de R$ 1.853 nos 3 meses anteriores (14× a média, com piso de R$ 200)."
A004217,T-60426,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",24361.83,2026-08-06,32.8,"R$ 13.314 recebidos e R$ 11.047 enviados por Pix em 30 dias — 5,3× a renda mensal declarada de R$ 4.560."
A004220,T-60789,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",17120.75,2026-08-06,44.2,"R$ 9.281 recebidos e R$ 7.840 enviados por Pix em 30 dias — 8,7× a renda mensal declarada de R$ 1.970."
A004221,T-60789,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",17120.75,2026-08-06,44.2,"R$ 17.121 movimentados em 30 dias, contra média mensal de R$ 599 nos 3 meses anteriores (29× a média, com piso de R$ 200)."
A004222,T-76986,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",55823.34,2026-08-06,49.0,"R$ 31.424 recebidos e R$ 24.400 enviados por Pix em 30 dias — 24,5× a renda mensal declarada de R$ 2.280."
A004223,T-76986,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",55823.34,2026-08-06,49.0,"R$ 55.823 movimentados em 30 dias, contra média mensal de R$ 652 nos 3 meses anteriores (86× a média, com piso de R$ 200)."
